파일시스템           K바이트    사용    가용   용량    설치지점
/dev/md/dsk/d50      10086628 7887122 2098640    79%    /
/devices                   0       0       0     0%    /devices
ctfs                       0       0       0     0%    /system/contract
proc                       0       0       0     0%    /proc
mnttab                     0       0       0     0%    /etc/mnttab
swap                 29776720    1464 29775256     1%    /etc/svc/volatile
objfs                      0       0       0     0%    /system/object
/platform/SUNW,Sun-Fire-T200/lib/libc_psr/libc_psr_hwcap1.so.1 10086628 7887122 2098640    79%    /platform/sun4v/lib/libc_psr.so.1
/platform/SUNW,Sun-Fire-T200/lib/sparcv9/libc_psr/libc_psr_hwcap1.so.1 10086628 7887122 2098640    79%    /platform/sun4v/lib/sparcv9/libc_psr.so.1
fd                         0       0       0     0%    /dev/fd
/dev/md/dsk/d70      5045478 5030783       0   100%    /var
swap                 29823992   48736 29775256     1%    /tmp
swap                 29775296      40 29775256     1%    /var/run
/dev/md/dsk/d4       10326524  860939 9362320     9%    /WASlogs
/dev/md/dsk/d3       4128238 1726534 2360422    43%    /WEBTOB
/dev/md/dsk/d108     2031335  194708 1775687    10%    /bmc
/dev/md/dsk/d1        982759  471585  452209    52%    /userdir
/dev/md/dsk/d109     2031335  106049 1864346     6%    /stm
/dev/md/dsk/d2       4128238  654931 3432025    17%    /JEUS
/dev/md/dsk/d107     2031335  958985 1011410    49%    /oracle
/dev/md/dsk/d80      24207360   24025 23941262     1%    /dump
/dev/md/dsk/d90      6934637    6900 6858391     1%    /data
/dev/md/dsk/d8        982759  247294  676500    27%    /userdir/pilnwas
/dev/md/dsk/d11       982759  578034  345760    63%    /userdir/picawas
/dev/md/dsk/d5       3079710 3018116       0   100%    /opt/mqm
/dev/md/dsk/d10       982759  178721  745073    20%    /userdir/piopwas
/dev/md/dsk/d15       982759   58389  865405     7%    /userdir/pikswas
/dev/md/dsk/d106     5159918  422510 4685809     9%    /userdir/pidmwas
/dev/md/dsk/d9        982759  306575  617219    34%    /userdir/pidewas
/dev/md/dsk/d104      480703  128453  304180    30%    /userdir/pixtwas
/dev/md/dsk/d14       982759  301470  622324    33%    /userdir/pidlwas
/dev/md/dsk/d17      53700078 8549091 44613987    17%    /userdir/picowas
/dev/md/dsk/d102     10326524  169141 10054118     2%    /userdir/snxtwas
/dev/md/dsk/d12       982759    1196  922598     1%    /userdir/piinwas
/dev/md/dsk/d103      480703  183347  249286    43%    /userdir/piwfwas
/dev/md/dsk/d105      480703    5158  427475     2%    /userdir/pidjwas
/dev/md/dsk/d6       10326524 4075929 6147330    40%    /var/mqm
/dev/md/dsk/d13       982759    1274  922520     1%    /userdir/pifxwas
/dev/md/dsk/d110      480703  250195  182438    58%    /usr/local/webtobIPNI
/dev/md/dsk/d7       4128238  200874 3886082     5%    /var/mqm/log
/dev/md/dsk/d111     2031335  508198 1462197    26%    /usr/local/jeusIPNI
/dev/md/dsk/d16      12392428   15750 12252754     1%    /userdir/picowas/docs/img
99.2.1.2:/nas/t_misodsdb01_n 1109211984 878074952 231137032    80%    /nas
/dev/md/dsk/d113     10326524   10259 10213000     1%    /userdir/nafr
/dev/md/dsk/d115      982759    1086  922708     1%    /pgm
/dev/md/dsk/d114     4128238   41643 4045313     2%    /CONF
/dev/md/dsk/d116     24355927  173938 24121049     1%    /userdir/pipmwas
/dev/md/dsk/d101     10326524   34310 10188949     1%    /userdir/snedwas
/dev/md/dsk/d117     3843462 2607293 1197735    69%    /userdir/ipniwas
9.11.1.157:/nas/smt01_1 253303784 193092696 60211088    77%    /mnt
/dev/md/dsk/d118     10326524  205396 10017863     3%    /userdir/ARMS
