Filesystem    1024-blocks      Free %Used    Iused %Iused Mounted on
/dev/hd4          4194304   4152820    1%     1918     1% /
/dev/hd2          5242880   3267084   38%    39929     6% /usr
/dev/hd9var       4194304   4152200    2%      514     1% /var
/dev/hd3         10485760  10347028    2%      225     1% /tmp
/dev/fwdump       2883584   2882816    1%        4     1% /var/adm/ras/platform
/dev/hd1         20971520  20717384    2%     1163     1% /home
/proc                   -         -    -         -     -  /proc
/dev/hd10opt      1048576    953688   10%     1775     1% /opt
/dev/logs_lv001    20971520   7239224   66%   105936     7% /log001
/dev/data1_lv001    11010048   6518764   41%    27333     2% /array01
/dev/data1_lv002    26345472   9675916   64%  2256595    45% /array02
/dev/data1_lv003     1572864    901004   43%     8220     4% /KIC
/dev/data1_lv004     1572864   1422048   10%      337     1% /engn003
172.21.100.110:/vol/wbpm/wbpm    44040192  31804512   28%    65603     5% /data01
/dev/logs_lv002    14417920  12824140   12%       64     1% /log002
